stream_path,line_id,speech_ratio,keep_spans,dropped
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c200/wav/english/windows/sq_cs71_s00600_c200_voice_track.english.core.stream,sq_cs71_s00600_c200#track0,0.1377,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c201/wav/english/windows/sq_cs71_s00600_c201_voice_track.english.core.stream,sq_cs71_s00600_c201#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c202/wav/english/windows/sq_cs71_s00600_c202_voice_track.english.core.stream,sq_cs71_s00600_c202#track0,0.0956,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c204/wav/english/windows/sq_cs71_s00600_c204_voice_track.english.core.stream,sq_cs71_s00600_c204#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c205/wav/english/windows/sq_cs71_s00600_c205_voice_track.english.core.stream,sq_cs71_s00600_c205#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c207/wav/english/windows/sq_cs71_s00600_c207_voice_track.english.core.stream,sq_cs71_s00600_c207#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00920/c102/wav/english/windows/sq_cs71_s00920_c102_voice_track.english.core.stream,sq_cs71_s00920_c102#track0,0.048,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s50600/c210/wav/english/windows/sq_cs71_s50600_c210_voice_track.english.core.stream,sq_cs71_s50600_c210#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s50600/c211/wav/english/windows/sq_cs71_s50600_c211_voice_track.english.core.stream,sq_cs71_s50600_c211#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s01000/wav/english/windows/sq_cs07_s01000_voice_track.english.core.stream,sq_cs07_s01000#track0,0.2259,46.458:49.082;77.154:104.432;108.93:126.943;215.124:238.487;258.712:265.656;311.16:312.484,0
ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s01300/wav/english/windows/sq_cs03_s01300_voice_track.english.core.stream,sq_cs03_s01300#track0,0.2125,21.618:41.252;67.788:69.636,0
ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00500/wav/english/windows/sq_cs01_s00500_voice_track.english.core.stream,sq_cs01_s00500#track0,0.6456,21.095:51.664;53.546:99.37;100.644:114.692;127.678:156.627,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00850/wav/english/windows/sq_cs07_s00850_voice_track.english.core.stream,sq_cs07_s00850#track0,0.7675,3.798:33.017;33.684:47.833,0
ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c007/wav/english/windows/sq_cs80_s00100_c007_voice_track.english.core.stream,sq_cs80_s00100_c007#track0,0.7718,4.794:31.245;34.19:61.958;65.072:92.957;94.063:101.175,0
ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s00500/wav/english/windows/sq_cs06_s00500_voice_track.english.core.stream,sq_cs06_s00500#track0,0.8923,11.612:36.358;39.32:65.569;66.793:91.54;94.13:119.67;120.388:149.944;151.05:180.032;180.564:208.146;210.669:239.618;240.15:268.12;268.854:284.607;285.56:311.91;312.83:386.835;387.57:467.599;470.088:498.126,0
ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s01100/wav/english/windows/sq_cs06_s01100_voice_track.english.core.stream,sq_cs06_s01100#track0,0.1849,24.285:41.083,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00400/wav/english/windows/sq_cs07_s00400_voice_track.english.core.stream,sq_cs07_s00400#track0,0.7936,0.0:25.018;26.04:39.008,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s00350/wav/english/windows/sq_cs08_s00350_voice_track.english.core.stream,sq_cs08_s00350#track0,0.5171,20.657:40.527;56.583:86.646;94.991:107.537,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01100/wav/english/windows/sq_cs05_s01100_voice_track.english.core.stream,sq_cs05_s01100#track0,0.7576,1.942:30.216;36.823:64.911;66.658:111.351,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s00800/wav/english/windows/sq_cs05_s00800_voice_track.english.core.stream,sq_cs05_s00800#track0,0.588,6.38:30.486,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00500/wav/english/windows/sq_cs02_s00500_voice_track.english.core.stream,sq_cs02_s00500#track0,0.4156,11.088:34.688;38.966:42.062,0
ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c003/wav/english/windows/sq_cs80_s00100_c003_voice_track.english.core.stream,sq_cs80_s00100_c003#track0,0.5865,4.035:27.313;33.077:44.104,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00100/wav/english/windows/sq_cs07_s00100_voice_track.english.core.stream,sq_cs07_s00100#track0,0.679,18.581:45.64;48.45:75.576;81.12:108.55;114.735:144.004;145.953:168.372,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00208/wav/english/windows/sq_cs77_s00208_voice_track.english.core.stream,sq_cs77_s00208#track0,0.2787,1.132:8.312,0
ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00800/wav/english/windows/sq_cs01_s00800_voice_track.english.core.stream,sq_cs01_s00800#track0,0.3562,15.763:45.589,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00207/wav/english/windows/sq_cs77_s00207_voice_track.english.core.stream,sq_cs77_s00207#track0,0.4052,1.368:12.143,0
ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00750/wav/english/windows/sq_cs01_s00750_voice_track.english.core.stream,sq_cs01_s00750#track0,0.1516,4.271:7.063,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00700/wav/english/windows/sq_cs02_s00700_voice_track.english.core.stream,sq_cs02_s00700#track0,0.5459,16.455:43.632,0
ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s01000/wav/english/windows/sq_cs03_s01000_voice_track.english.core.stream,sq_cs03_s01000#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00700/wav/english/windows/sq_cs04_s00700_voice_track.english.core.stream,sq_cs04_s00700#track0,0.0562,24.268:26.807,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s01100/wav/english/windows/sq_cs04_s01100_voice_track.english.core.stream,sq_cs04_s01100#track0,0.4492,2.313:19.652,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01400/wav/english/windows/sq_cs05_s01400_voice_track.english.core.stream,sq_cs05_s01400#track0,0.4856,1.098:17.61;29.955:35.92,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s00200/wav/english/windows/sq_cs08_s00200_voice_track.english.core.stream,sq_cs08_s00200#track0,0.7575,0.0:17.695,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s01080/wav/english/windows/sq_cs08_s01080_voice_track.english.core.stream,sq_cs08_s01080#track0,0.5039,10.194:39.632,0
ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c004/wav/english/windows/sq_cs80_s00100_c004_voice_track.english.core.stream,sq_cs80_s00100_c004#track0,0.5192,2.482:29.642;41.379:44.442,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00800/wav/english/windows/sq_cs04_s00800_voice_track.english.core.stream,sq_cs04_s00800#track0,0.6765,61.275:67.105;94.653:125.273;130.226:156.171;163.605:191.49;193.659:216.381;226.397:253.523;255.337:279.78;280.295:307.455;311.632:337.83;352.824:383.477;385.038:413.16;415.346:434.49;462.478:489.132;495.84:525.548;528.915:545.376;559.998:619.474;620.462:642.272;645.977:668.209;676.402:706.11;719.096:726.748,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01470/wav/english/windows/sq_cs05_s01470_voice_track.english.core.stream,sq_cs05_s01470#track0,0.8794,0.0:82.461;85.524:97.092,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00750/wav/english/windows/sq_cs04_s00750_voice_track.english.core.stream,sq_cs04_s00750#track0,0.7336,6.65:62.616;66.624:80.655,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01450/wav/english/windows/sq_cs05_s01450_voice_track.english.core.stream,sq_cs05_s01450#track0,0.8095,41.497:71.34;72.345:98.83;100.475:188.149;189.845:219.537;220.895:308.586;309.894:336.43;338.143:359.717,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c104/wav/english/windows/sq_cs71_s00270_c104_voice_track.english.core.stream,sq_cs71_s00270#track0,0.4462,0.98:3.418,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c101/wav/english/windows/sq_cs71_s00270_c101_voice_track.english.core.stream,sq_cs71_s00270#track1,0.4462,0.98:3.418,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c102/wav/english/windows/sq_cs71_s00270_c102_voice_track.english.core.stream,sq_cs71_s00270#track2,0.4462,0.98:3.418,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c103/wav/english/windows/sq_cs71_s00270_c103_voice_track.english.core.stream,sq_cs71_s00270#track3,0.4462,0.98:3.418,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c201/wav/english/windows/sq_cs71_s00270_c201_voice_track.english.core.stream,sq_cs71_s00270#track4,0.3824,1.014:3.267,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c202/wav/english/windows/sq_cs71_s00270_c202_voice_track.english.core.stream,sq_cs71_s00270#track5,0.3824,1.014:3.267,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c203/wav/english/windows/sq_cs71_s00270_c203_voice_track.english.core.stream,sq_cs71_s00270#track6,0.3824,1.014:3.267,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c204/wav/english/windows/sq_cs71_s00270_c204_voice_track.english.core.stream,sq_cs71_s00270#track7,0.3824,1.014:3.267,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c301/wav/english/windows/sq_cs71_s00270_c301_voice_track.english.core.stream,sq_cs71_s00270#track8,0.4662,0.997:3.672,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c302/wav/english/windows/sq_cs71_s00270_c302_voice_track.english.core.stream,sq_cs71_s00270#track9,0.4662,0.997:3.672,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c303/wav/english/windows/sq_cs71_s00270_c303_voice_track.english.core.stream,sq_cs71_s00270#track10,0.4662,0.997:3.672,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c304/wav/english/windows/sq_cs71_s00270_c304_voice_track.english.core.stream,sq_cs71_s00270#track11,0.4662,0.997:3.672,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c401/wav/english/windows/sq_cs71_s00270_c401_voice_track.english.core.stream,sq_cs71_s00270#track12,0.3808,0.98:3.233,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c402/wav/english/windows/sq_cs71_s00270_c402_voice_track.english.core.stream,sq_cs71_s00270#track13,0.3808,0.98:3.233,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c403/wav/english/windows/sq_cs71_s00270_c403_voice_track.english.core.stream,sq_cs71_s00270#track14,0.3808,0.98:3.233,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c404/wav/english/windows/sq_cs71_s00270_c404_voice_track.english.core.stream,sq_cs71_s00270#track15,0.3808,0.98:3.233,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00200/wav/english/windows/sq_cs02_s00200_voice_track.english.core.stream,sq_cs02_s00200#track0,0.8489,4.997:30.351;46.897:73.045;76.496:126.927;127.863:145.084;161.124:190.613;191.128:305.97;306.485:366.062;368.028:420.45;426.551:483.428;486.828:501.282,0
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00400/wav/english/windows/sq_cs00_s00400_voice_track_brd101a.english.core.stream,sq_cs00_s00400#track0,0.0169,201.962:206.273,0
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00400/wav/english/windows/sq_cs00_s00400_voice_track_igor.english.core.stream,sq_cs00_s00400#track1,0.3735,15.611:45.015;45.969:70.615;79.348:94.273;132.993:143.937;162.744:166.06,0
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00400/wav/english/windows/sq_cs00_s00400_voice_track_sam.english.core.stream,sq_cs00_s00400#track2,0.0904,87.363:91.033;134.85:151.868,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00210/wav/english/windows/sq_cs77_s00210_voice_track.english.core.stream,sq_cs77_s00210#track0,0.5777,1.082:15.096,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01300/wav/english/windows/sq_cs05_s01300_voice_track.english.core.stream,sq_cs05_s01300#track0,0.2296,20.673:31.6;52.01:63.831,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00206/wav/english/windows/sq_cs77_s00206_voice_track.english.core.stream,sq_cs77_s00206#track0,0.4455,0.71:11.805,0
ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00700/wav/english/windows/sq_cs01_s00700_voice_track.english.core.stream,sq_cs01_s00700#track0,0.3794,67.974:94.003;94.704:120.649;121.333:133.305;196.275:233.728,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00203/wav/english/windows/sq_cs77_s00203_voice_track.english.core.stream,sq_cs77_s00203#track0,0.2826,1.622:9.156,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00204/wav/english/windows/sq_cs77_s00204_voice_track.english.core.stream,sq_cs77_s00204#track0,0.3496,6.718:15.467,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s01200/wav/english/windows/sq_cs02_s01200_voice_track.english.core.stream,sq_cs02_s01200#track0,0.7907,0.963:23.483;25.196:72.741;73.762:101.935;105.622:128.175;133.702:164.187;165.107:194.359;195.532:205.851,0
ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00400/wav/english/windows/sq_cs01_s00400_voice_track.english.core.stream,sq_cs01_s00400#track0,0.7155,12.675:41.64;42.206:68.202;80.225:106.727;113.553:141.523;149.126:179.239;186.082:235.197;244.115:270.988;274.22:331.283;333.401:334.776;377.259:396.876;412.157:462.064;463.237:491.46;495.367:499.155,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s01250/wav/english/windows/sq_cs02_s01250_voice_track.english.core.stream,sq_cs02_s01250#track0,0.8259,6.735:62.228;64.16:112.347,0
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00450/wav/english/windows/sq_cs00_s00450_voice_track.english.core.stream,sq_cs00_s00450#track0,0.4145,49.867:72.994;77.12:102.103;164.33:193.161;194.182:214.93;241.449:252.831;260.349:288.775;311.396:314.931,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00201/wav/english/windows/sq_cs77_s00201_voice_track.english.core.stream,sq_cs77_s00201#track0,0.6656,0.0:16.243,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00200/wav/english/windows/sq_cs07_s00200_voice_track.english.core.stream,sq_cs07_s00200#track0,0.7308,7.393:36.409;37.481:66.126;67.08:110.659;123.493:136.41,0
ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00400/wav/english/windows/sq_cs10_s00400_voice_track.english.core.stream,sq_cs10_s00400#track0,0.593,6.313:10.827;38.088:65.569;82.149:132.748;137.6:168.034;170.22:180.572;206.298:236.783;241.348:264.508;275.368:303.979;307.464:335.383;337.029:363.902;366.257:379.107;396.547:413.818;431.512:449.965;466.848:487.613;531.783:545.798,0
ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00300/wav/english/windows/sq_cs10_s00300_voice_track.english.core.stream,sq_cs10_s00300#track0,0.5124,0.457:26.318;34.106:54.668;81.44:100.821;115.697:143.38;145.346:201.615;213.234:239.382;240.386:270.583;271.318:297.567;302.503:326.727;360.806:375.748;390.607:421.159;488.06:500.337;575.945:577.354,0
ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00500/wav/english/windows/sq_cs10_s00500_voice_track.english.core.stream,sq_cs10_s00500#track0,0.1272,25.128:48.998;64.515:65.957;111.444:112.633,0
ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00100/wav/english/windows/sq_cs10_s00100_voice_track.english.core.stream,sq_cs10_s00100#track0,0.8828,0.677:27.837;28.841:56.271;72.935:162.263;162.862:190.765;195.212:224.768;225.485:254.637;255.253:468.308;469.987:494.751;499.097:522.308;528.746:557.577;558.429:613.77;615.753:642.627;643.8:669.559;671.272:700.255;701.377:728.672;730.115:759.402;762.178:792.308;793.515:816.844;825.847:827.323,0
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00600/wav/english/windows/sq_cs00_s00600_voice_track.english.core.stream,sq_cs00_s00600#track0,0.5143,11.696:39.48;67.721:87.591,0
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00100/wav/english/windows/sq_cs00_s00100_voice_track.english.core.stream,sq_cs00_s00100#track0,0.132,0.677:25.423,0
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00110/wav/english/windows/sq_cs00_s00110_voice_track.english.core.stream,sq_cs00_s00110#track0,0.2664,65.038:92.13,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s00100/wav/english/windows/sq_cs08_s00100_voice_track.english.core.stream,sq_cs08_s00100#track0,0.8395,6.92:85.296;87.093:144.73;150.476:156.154,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00250/wav/english/windows/sq_cs09_s00250_voice_track.english.core.stream,sq_cs09_s00250#track0,0.7184,2.212:59.713;62.135:92.485;94.518:118.54;122.362:152.863;154.29:167.241;169.359:199.101;200.358:230.202;233.265:262.045;262.965:286.935;293.238:316.956;389.848:396.049,0
ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s01200/wav/english/windows/sq_cs03_s01200_voice_track.english.core.stream,sq_cs03_s01200#track0,0.4578,0.0:24.867;52.82:73.551,0
ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00100/wav/english/windows/sq_cs01_s00100_voice_track.english.core.stream,sq_cs01_s00100#track0,0.7217,40.839:70.699;73.222:93.379;98.889:159.613;162.035:217.714;218.567:242.132;246.528:272.608;273.545:302.19;302.807:326.743;330.903:352.005;353.82:372.829;398.133:403.002,0
